,tweet_id,date,time
11971,1236822432700411904,2020-03-09,1:13:41
11972,1236822457878806529,2020-03-09,1:13:47
11973,1236822541769080832,2020-03-09,1:14:7
11974,1236822562719404032,2020-03-09,1:14:12
11975,1236822566897176582,2020-03-09,1:14:13
11976,1236822575298347008,2020-03-09,1:14:15
11977,1236822772447350784,2020-03-09,1:15:2
11978,1236822948595597313,2020-03-09,1:15:44
11979,1236822956979912705,2020-03-09,1:15:46
11980,1236822994732769280,2020-03-09,1:15:55
11981,1236823003138310145,2020-03-09,1:15:57
11982,1236823200270561282,2020-03-09,1:16:44
11983,1236823225415405568,2020-03-09,1:16:50
11984,1236823229605396481,2020-03-09,1:16:51
11985,1236823242196709382,2020-03-09,1:16:54
11986,1236823275734355969,2020-03-09,1:17:2
11987,1236823309293170690,2020-03-09,1:17:10
11988,1236823326103719938,2020-03-09,1:17:14
11989,1236823334467317766,2020-03-09,1:17:16
11990,1236823372232785920,2020-03-09,1:17:25
11991,1236823397407109126,2020-03-09,1:17:31
11992,1236823435139039232,2020-03-09,1:17:40
11993,1236823464490815490,2020-03-09,1:17:47
11994,1236823581931327488,2020-03-09,1:18:15
11995,1236823623869976576,2020-03-09,1:18:25
11996,1236823707764625409,2020-03-09,1:18:45
11997,1236823737107955713,2020-03-09,1:18:52
11998,1236823867164745729,2020-03-09,1:19:23
11999,1236823875523993601,2020-03-09,1:19:25
12000,1236823917475569664,2020-03-09,1:19:35
12001,1236823938472259584,2020-03-09,1:19:40
12002,1236823942632964096,2020-03-09,1:19:41
12003,1236824030725828608,2020-03-09,1:20:2
12004,1236824081045098497,2020-03-09,1:20:14
12005,1236824265594490880,2020-03-09,1:20:58
12006,1236824269809647616,2020-03-09,1:20:59
12007,1236824303364177920,2020-03-09,1:21:7
12008,1236824328521613312,2020-03-09,1:21:13
12009,1236824366287028224,2020-03-09,1:21:22
12010,1236824387225112578,2020-03-09,1:21:27
12011,1236824408196632576,2020-03-09,1:21:32
12012,1236824496276897794,2020-03-09,1:21:53
12013,1236824538253602817,2020-03-09,1:22:3
12014,1236824550827896832,2020-03-09,1:22:6
12015,1236824563415162881,2020-03-09,1:22:9
12016,1236824676665405440,2020-03-09,1:22:36
12017,1236824747939373060,2020-03-09,1:22:53
12018,1236824781510651904,2020-03-09,1:23:1
12019,1236824794089185281,2020-03-09,1:23:4
12020,1236824928294293511,2020-03-09,1:23:36
12021,1236825033181454336,2020-03-09,1:24:1
12022,1236825075103358976,2020-03-09,1:24:11
12023,1236825179952680967,2020-03-09,1:24:36
12024,1236825242879713280,2020-03-09,1:24:51
12025,1236825301612662784,2020-03-09,1:25:5
12026,1236825343543185408,2020-03-09,1:25:15
12027,1236825414854676480,2020-03-09,1:25:32
12028,1236825440007880706,2020-03-09,1:25:38
12029,1236825486141030401,2020-03-09,1:25:49
12030,1236825561667760128,2020-03-09,1:26:7
12031,1236825817507823616,2020-03-09,1:27:8
12032,1236825867839369217,2020-03-09,1:27:20
12033,1236825872025387008,2020-03-09,1:27:21
12034,1236825968486092801,2020-03-09,1:27:44
12035,1236825981077327874,2020-03-09,1:27:47
12036,1236826002061504512,2020-03-09,1:27:52
12037,1236826153048068098,2020-03-09,1:28:28
12038,1236826186606673921,2020-03-09,1:28:36
12039,1236826299831734272,2020-03-09,1:29:3
12040,1236826350176133120,2020-03-09,1:29:15
12041,1236826379553038336,2020-03-09,1:29:22
12042,1236826538940694529,2020-03-09,1:30:0
12043,1236826601851097092,2020-03-09,1:30:15
